Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W)
206,3,1.86,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1000
206,4,1.85,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1.00E+04
206,5,1.6,0.48,0.48,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1200
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,2,2.50E-07,0.0032
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,2,2.50E-07,0.16
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,FET,0.05,5.00E-06,7.40E+04
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,0.129,0.0982
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,0.664,0.0735
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,2.5,0.0392
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,11.146,0.0236
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,57.433,0.0145
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,133.553,0.0076
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,757.846,0.0028
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.129,2.8278
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.664,1.1844
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,2.5,0.5082
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,11.146,0.3059
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,57.433,0.1163
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,133.553,0.0667
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,757.846,0.0209
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.017,0.3369
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.088,0.1555
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.588,0.0809
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,2.561,0.0511
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,11.697,0.0606
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,56.065,0.03919
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,127.266,0.03004
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,704.965,0.01455
196,1,1.88,0.19,0.5,74.15,18.89,C,3.75,Lateral,1,0.049,4.13E-05
196,1,1.88,0.19,0.5,74.15,18.89,C,3.75,Lateral,5,0.049,2.76E-04
196,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,2,0.049,9.12E-03
196,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,5,0.049,2.46E-02
206,1,2.3,0.49,0.5,74.15,18.89,C,3.75,Lateral,1,0.049,2.28E-03
206,1,2.3,0.49,0.5,74.15,18.89,C,3.75,Lateral,3,0.049,1.02E-02
206,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,3,0.049,1.77E-03
206,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,4,0.049,2.51E-03
206,4,1.85,0.5,0.5,74.15,18.89,C,3.75,Lateral,3,0.049,5.91E-02
206,4,1.85,0.5,0.5,74.15,18.89,C,3.75,Lateral,4,0.049,7.95E-02
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.120792079,0.002,0.0028
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.16039604,0.002,0.0034
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.201980198,0.002,0.0041
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.23960396,0.002,0.0051
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.279207921,0.002,0.0058
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.316831683,0.002,0.0067
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.36039604,0.002,0.0076
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.4,0.002,0.0087
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.441584158,0.002,0.0087
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.481188119,0.002,0.01
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.520792079,0.002,0.0093
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.558415842,0.002,0.0107
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.598019802,0.002,0.0123
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.637623762,0.002,0.0123
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.679207921,0.002,0.0131
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,0.0062
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,0.0076
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,0.01
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,0.013111
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,0.016065
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,0.017191
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,0.019684
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,0.022539
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,0.022539
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,0.025809
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,0.029552
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,0.033839
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,0.033839
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,0.033839
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.679207921,0.002,0.033839
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,0.033839
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,0.047476
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,0.058171
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,0.07627
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,0.1
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,0.1145
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,0.1403
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,0.16065
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,0.19684
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,0.22539
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,0.22539
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,0.25809
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,0.27617
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,0.29552
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.679207921,0.002,0.29552
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,1.50131
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,2.10634
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,2.95521
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,3.87468
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,4.74756
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,5.81709
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,7.12756
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,8.73326
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,8.73326
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,10
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,10.7007
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,13.1113
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,13.1113
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,14.03
206,2,2.17,0.5,0.5,74.15,18.89,Au,5.1,FET,10,3.50E-04,5
