Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W),Detectivity (Jones)
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,0.01,1.00E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,1,1.00E+13
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,0.01,4.00E+11
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,0.06,6.00E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,0.12,2.00E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,5.9,5.00E+13
206,2,1.96,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,50,1.20E+13
206,3,1.86,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1000,6.80E+14
206,4,1.85,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1.00E+04,1.00E+17
206,5,1.6,0.48,0.48,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1200,4.50E+13
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,2,2.50E-07,0.0032,3.77E+10
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,2,2.50E-07,0.16,1.90E+11
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,FET,0.05,5.00E-06,7.40E+04,1.20E+15
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,0.129,0.0982,3.96E+11
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,0.664,0.0735,2.96E+11
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,2.5,0.0392,1.70E+11
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,11.146,0.0236,9.48E+10
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,57.433,0.0145,6.05E+10
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,133.553,0.0076,3.12E+10
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,1,757.846,0.0028,1.14E+10
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.129,2.8278,2.59E+13
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.664,1.1844,1.11E+13
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,2.5,0.5082,4.64E+12
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,11.146,0.3059,2.73E+12
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,57.433,0.1163,1.03E+12
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,133.553,0.0667,6.21E+11
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,757.846,0.0209,1.99E+11
